id,label
1,1
2,0
3,0
4,1
5,1
6,0
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,0
37,0
38,0
39,0
40,1
41,1
42,1
43,1
44,0
45,0
46,0
47,0
48,1
49,1
50,1
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,1
59,0
60,1
61,0
62,0
63,1
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,0
78,0
79,0
80,0
81,1
82,1
83,1
84,0
85,0
86,0
87,0
88,1
89,0
90,1
91,0
92,1
93,1
94,0
95,0
96,1
97,0
98,1
99,0
100,0
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,1
122,0
123,0
124,1
125,0
126,1
127,1
128,0
129,1
130,1
131,1
132,0
133,0
134,1
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,1
143,0
144,0
145,0
146,0
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,0
162,1
163,0
164,0
165,1
166,0
167,1
168,0
169,0
170,0
171,1
172,1
173,0
174,1
175,1
176,0
177,1
178,1
179,0
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,0
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,1
201,1
202,0
203,1
204,0
205,0
206,0
207,1
208,1
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,1
224,0
225,1
226,0
227,0
228,0
229,0
230,0
231,1
232,1
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,1
241,0
242,1
243,0
244,0
245,1
246,0
247,0
248,1
249,0
250,1
251,0
252,0
253,1
254,1
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,0
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,0
284,0
285,1
286,0
287,1
288,1
289,0
290,1
291,0
292,0
293,1
294,1
295,0
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,0
307,1
308,0
309,1
310,1
311,1
312,0
313,1
314,1
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,1
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,0
361,0
362,1
363,0
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,0
373,1
374,1
375,0
376,1
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,1
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,1
401,1
402,0
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,0
418,1
419,1
420,1
421,1
422,1
423,1
424,0
425,0
426,0
427,0
428,0
429,1
430,0
431,0
432,0
433,0
434,0
435,1
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,1
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,0
458,1
459,1
460,1
461,0
462,1
463,0
464,0
465,0
466,0
467,1
468,1
469,1
470,1
471,0
472,1
473,1
474,0
475,0
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,0
484,0
485,1
486,1
487,0
488,1
489,1
490,0
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,0
501,1
502,0
503,0
504,0
505,1
506,0
507,1
508,0
509,0
510,0
511,0
512,1
513,1
514,0
515,0
516,0
517,1
518,0
519,0
520,1
521,0
522,1
523,0
524,0
525,0
526,0
527,0
528,1
529,1
530,0
531,1
532,1
533,1
534,0
535,1
536,0
537,1
538,1
539,0
540,0
541,1
542,1
543,1
544,0
545,0
546,0
547,1
548,0
549,1
550,0
551,1
552,1
553,1
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,1
566,0
567,1
568,1
569,0
570,1
571,0
572,0
573,1
574,1
575,1
576,1
577,0
578,0
579,1
580,1
581,0
582,1
583,1
584,1
585,1
586,0
587,1
588,0
589,1
590,1
591,1
592,0
593,0
594,0
595,1
596,1
597,1
598,1
599,0
600,1
601,0
602,1
603,0
604,1
605,1
606,0
607,1
608,1
609,0
610,0
611,0
612,1
613,1
614,1
615,0
616,1
617,1
618,0
619,0
620,1
621,0
622,1
623,1
624,0
625,1
626,1
627,1
628,0
629,1
630,1
631,0
632,1
633,0
634,1
635,0
636,0
637,1
638,0
639,1
640,1
641,0
642,0
643,0
644,1
645,0
646,0
647,1
648,1
649,0
650,1
651,1
652,1
653,1
654,1
655,0
656,0
657,1
658,0
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,0
667,0
668,0
669,1
670,0
671,1
672,0
673,0
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,1
690,0
691,1
692,1
693,0
694,0
695,0
696,0
697,1
698,0
699,0
700,0
701,1
702,1
703,0
704,1
705,1
706,1
707,1
708,0
709,0
710,0
711,1
712,0
713,0
714,0
715,1
716,0
717,1
718,0
719,1
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,1
742,1
743,0
744,1
745,1
746,1
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,0
761,1
762,0
763,1
764,0
765,0
766,1
767,1
768,1
769,0
770,0
771,0
772,1
773,0
774,0
775,1
776,1
777,0
778,1
779,1
780,1
781,1
782,0
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,0
794,0
795,0
796,1
797,1
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,1
807,0
808,0
809,1
810,1
811,1
812,0
813,0
814,1
815,1
816,0
817,0
818,0
819,0
820,1
821,0
822,1
823,0
824,1
825,0
826,1
827,1
828,1
829,1
830,0
831,0
832,0
833,1
834,0
835,0
836,0
837,1
838,0
839,0
840,1
841,0
842,1
843,0
844,0
